,Numero de agentes,Agentes esperando
0,50,0
1,52,0
2,52,0
3,51,0
4,53,0
5,55,0
6,55,0
7,58,1
8,57,0
9,59,0
10,59,0
11,61,0
12,65,0
13,65,0
14,67,0
15,71,0
16,73,0
17,73,0
18,75,0
19,76,0
20,81,0
21,82,0
22,82,0
23,83,0
24,84,0
25,86,0
26,87,0
27,89,0
28,89,0
29,90,1
30,92,2
31,96,0
32,97,0
33,98,0
34,100,0
35,100,0
36,103,1
37,103,1
38,105,0
39,107,0
40,107,0
41,108,0
42,108,0
43,111,0
44,112,0
45,114,0
46,115,0
47,115,0
48,115,0
49,116,0
50,119,0
51,120,0
52,127,0
53,130,0
54,131,0
55,136,0
56,140,0
57,146,0
58,149,1
59,154,1
60,160,2
61,163,3
62,165,2
63,169,1
64,169,1
65,171,0
66,173,0
67,177,1
68,176,2
69,180,1
70,183,1
71,185,0
72,185,0
73,186,0
74,186,0
75,189,1
76,192,2
77,193,0
78,196,0
79,201,1
80,202,0
81,204,0
82,209,0
83,212,0
84,213,0
85,215,0
86,216,1
87,218,1
88,221,0
89,224,0
90,224,0
91,226,0
92,228,1
93,233,0
94,236,0
95,238,0
96,242,0
97,246,2
98,249,2
99,252,0
100,253,1
101,253,2
102,255,2
103,255,2
104,258,0
105,259,0
106,262,0
107,268,0
108,267,0
109,269,1
110,271,2
111,273,0
112,280,1
113,282,0
114,285,0
115,288,0
116,291,0
117,296,1
118,296,2
119,297,4
120,297,3
121,298,1
122,299,2
123,299,4
124,300,2
125,302,2
126,304,1
127,305,1
128,307,0
129,310,1
130,309,3
131,313,2
132,313,2
133,315,3
134,317,3
135,320,0
136,322,2
137,322,2
138,323,4
139,325,5
140,328,4
141,326,4
142,328,2
143,329,3
144,328,1
145,330,3
146,331,2
147,330,1
148,332,2
149,333,1
150,333,4
151,333,2
152,333,1
153,332,1
154,333,1
155,333,4
156,333,2
157,333,4
158,331,2
159,331,2
160,331,5
161,333,5
162,337,6
163,339,5
164,340,5
165,338,5
166,341,2
167,342,9
168,342,7
169,342,1
170,343,5
171,343,5
172,344,2
173,346,3
174,347,1
175,348,3
176,349,3
177,349,5
178,351,4
179,351,4
180,352,3
181,353,3
182,353,3
183,352,4
184,353,3
185,354,4
186,356,5
187,359,3
188,361,3
189,364,5
190,363,3
191,364,3
192,365,2
193,367,3
194,365,5
195,366,3
196,368,3
197,367,3
198,368,4
199,372,2
200,371,2
201,371,3
202,370,2
203,372,1
204,371,3
205,370,2
206,372,5
207,378,3
208,377,4
209,381,1
210,383,6
211,383,1
212,383,1
213,383,2
214,382,1
215,382,2
216,384,4
217,381,2
218,380,4
219,382,3
220,382,3
221,384,5
222,383,5
223,383,5
224,382,8
225,382,5
226,380,6
227,380,8
228,381,10
229,381,3
230,380,5
231,380,7
232,379,7
233,379,6
234,379,5
235,379,10
236,381,6
237,381,6
238,383,7
239,384,7
240,385,9
241,385,8
242,386,10
243,385,11
244,386,9
245,388,11
246,388,12
247,386,10
248,385,7
249,384,9
250,386,7
251,384,8
252,385,8
253,386,6
254,387,9
255,387,9
256,389,9
257,388,11
258,392,10
259,391,13
260,390,15
261,392,16
262,393,12
263,397,15
264,397,17
265,396,16
266,396,21
267,397,13
268,397,14
269,397,11
270,397,12
271,399,14
272,398,14
273,397,10
274,395,7
275,394,8
276,397,10
277,396,7
278,396,11
279,395,10
280,390,11
281,390,11
282,391,6
283,389,12
284,391,14
285,392,16
286,392,11
287,395,11
288,395,12
289,396,14
290,396,13
291,395,15
292,397,14
293,397,12
294,400,14
295,397,15
296,396,14
297,394,16
298,395,12
299,394,11
300,396,17
301,400,16
302,398,14
303,397,12
304,395,16
305,392,13
306,394,14
307,393,13
308,396,11
309,398,14
