,Numero de agentes,Agentes esperando
0,50,0
1,51,5
2,52,5
3,53,4
4,54,6
5,50,8
6,50,7
7,50,9
8,53,11
9,54,15
10,53,12
11,52,13
12,51,8
13,52,6
14,52,9
15,53,11
16,53,9
17,51,14
18,52,16
19,52,12
20,51,8
21,52,9
22,52,11
23,53,7
24,52,4
25,50,5
26,50,4
27,47,7
28,48,4
29,46,7
30,46,7
31,45,6
32,39,4
33,38,1
34,36,1
35,32,0
36,29,3
37,28,1
38,27,1
39,23,0
40,22,0
41,23,1
42,23,2
43,21,1
44,21,2
45,24,2
46,23,0
47,21,0
48,21,0
49,21,0
50,17,0
51,19,0
52,20,2
53,21,0
54,23,0
55,25,2
56,25,5
57,23,2
58,24,2
59,24,5
60,24,2
61,24,1
62,24,6
63,24,3
64,26,3
65,25,1
66,25,0
67,25,0
68,29,0
69,29,1
70,29,1
71,26,1
72,26,2
73,28,2
74,28,1
75,27,2
76,27,0
77,27,0
78,26,2
79,25,3
80,24,2
81,25,1
82,25,1
83,23,1
84,25,2
85,24,2
86,24,3
87,24,1
88,21,3
89,22,1
90,23,1
91,22,0
92,22,0
93,23,0
94,24,0
95,23,0
96,23,4
97,23,1
98,23,0
99,27,0
100,29,2
101,29,0
102,29,1
103,28,3
104,27,1
105,27,0
106,25,1
107,22,1
108,20,0
109,18,0
110,18,0
111,18,0
112,17,0
113,17,0
114,15,0
115,14,0
116,13,1
117,12,0
118,10,0
119,9,0
120,8,0
121,8,0
122,8,0
123,7,0
124,7,0
125,6,0
126,5,0
127,5,0
128,4,0
129,3,0
130,2,0
131,2,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,0,0
